Day,Population_Density,Test_per_Million_Cases,Previous_day_Cases,Difference,Present_day_Cases
22,232,30400,16,0,16
23,232,30400,16,0,16
24,232,30400,16,0,16
25,232,30400,16,0,16
26,232,30400,16,0,16
27,232,30400,16,0,16
28,232,30400,16,0,16
29,232,30400,16,0,16
30,232,30400,16,0,18
31,232,30400,18,2,26
32,232,30400,26,8,48
33,232,30400,48,22,74
34,232,30400,74,26,79
35,232,30400,79,5,130
36,232,30400,130,51,165
37,232,30400,165,35,203
38,232,30400,203,38,262
39,232,30400,262,59,545
40,232,30400,545,283,670
41,232,30400,670,125,800
42,232,30400,800,130,1040
43,232,30400,1040,240,1224
44,232,30400,1224,184,1565
45,232,30400,1565,341,1966
46,232,30400,1966,401,2745
47,232,30400,2745,779,3675
48,232,30400,3675,930,4599
49,232,30400,4599,924,5813
50,232,30400,5813,1214,7272
51,232,30400,7272,1459,9367
52,232,30400,9367,2095,12327
53,232,30400,12327,2960,15320
54,232,30400,15320,2993,19848
55,232,30400,19848,4528,22364
56,232,30400,22364,2516,24873
57,232,30400,24873,2509,29056
58,232,30400,29056,4183,32991
59,232,30400,32991,3935,37323
60,232,30400,37323,4332,43938
61,232,30400,43938,6615,50871
62,232,30400,50871,6933,57695
63,232,30400,57695,6824,62435
64,232,30400,62435,4740,66885
65,232,30400,66885,4450,71808
66,232,30400,71808,4923,77981
67,232,30400,77981,6173,84794
68,232,30400,84794,6813,91159
69,232,30400,91159,6365,96092
70,232,30400,96092,4933,100123
71,232,30400,100123,4031,103375
72,232,30400,103375,3252,107663
73,232,30400,107663,4288,113296
74,232,30400,113296,5633,118235
75,232,30400,118235,4939,122171
76,232,30400,122171,3936,125452
77,232,30400,125452,3281,127854
78,232,30400,127854,2402,130072
79,232,30400,130072,2218,132210
80,232,30400,132210,2138,134753
81,232,30400,134753,2543,137698
82,232,30400,137698,2945,141397
83,232,30400,141397,3699,143724
84,232,30400,143724,2327,145742
85,232,30400,145742,2018,147065
86,232,30400,147065,1323,148453
87,232,30400,148453,1388,150648
88,232,30400,150648,2195,153129
89,232,30400,153129,2481,154999
90,232,30400,154999,1870,156513
91,232,30400,156513,1514,157770
92,232,30400,157770,1257,158758
93,232,30400,158758,988,159912
94,232,30400,159912,1154,161539
95,232,30400,161539,1627,163009
96,232,30400,163009,1470,164077
3,91.4,32699,2,0,2
4,91.4,32699,2,0,2
5,91.4,32699,2,0,2
6,91.4,32699,2,0,2
7,91.4,32699,2,0,2
8,91.4,32699,2,0,2
9,91.4,32699,2,0,2
10,91.4,32699,2,0,3
11,91.4,32699,3,1,9
12,91.4,32699,9,6,13
13,91.4,32699,13,4,25
14,91.4,32699,25,12,33
15,91.4,32699,33,8,58
16,91.4,32699,58,25,84
17,91.4,32699,84,26,120
18,91.4,32699,120,36,165
19,91.4,32699,165,45,228
20,91.4,32699,228,63,282
21,91.4,32699,282,54,401
22,91.4,32699,401,119,525
23,91.4,32699,525,124,674
24,91.4,32699,674,149,1231
25,91.4,32699,1231,557,1695
26,91.4,32699,1695,464,2277
27,91.4,32699,2277,582,3146
28,91.4,32699,3146,869,5232
29,91.4,32699,5232,2086,6391
30,91.4,32699,6391,1159,7988
31,91.4,32699,7988,1597,9942
32,91.4,32699,9942,1954,11826
33,91.4,32699,11826,1884,14769
34,91.4,32699,14769,2943,18077
35,91.4,32699,18077,3308,21571
36,91.4,32699,21571,3494,25496
37,91.4,32699,25496,3925,28768
38,91.4,32699,28768,3272,35136
39,91.4,32699,35136,6368,42058
40,91.4,32699,42058,6922,49515
41,91.4,32699,49515,7457,57786
42,91.4,32699,57786,8271,65719
43,91.4,32699,65719,7933,73235
44,91.4,32699,73235,7516,80110
45,91.4,32699,80110,6875,87956
46,91.4,32699,87956,7846,95923
